# Rime user dictionary
#@/db_name	rime_ice_private
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3141
#@/user_id	MacOS
a 	啊	c=3 d=2.66065 t=2748
ye yi jing you 	也已经有	c=1 d=0.00142298 t=3141
ye you 	也有	c=3 d=0.242882 t=3141
ye zhi you 	也只有	c=1 d=0.0314298 t=3141
yi 	一	c=3 d=0.477695 t=3141
yi 	忆	c=1 d=0.169483 t=3141
yi ban 	一般	c=3 d=0.848761 t=3141
yi ban shi 	一般是	c=1 d=1 t=2528
yi bao 	翼豹	c=1 d=2.93858e-05 t=3141
yi bi 	一笔	c=1 d=0.00377257 t=3141
yi ci 	一次	c=1 d=1 t=3082
yi ci 	以此	c=2 d=0.712608 t=3141
yi da 	一大	c=0 d=0.00792617 t=3141
yi da zhang 	一大张	c=1 d=0.079659 t=3141
yi dian 	一点	c=3 d=0.102797 t=3141
yi dong 	一动	c=1 d=0.0109985 t=3141
yi dong 	移动	c=1 d=0.0330412 t=3141
yi dong bu dong 	一动不动	c=2 d=0.333521 t=3141
yi duan 	一段	c=1 d=9.21203e-06 t=3141
yi duan 	一端	c=1 d=0.0880368 t=3141
yi dun 	一顿	c=1 d=0.00211225 t=3141
yi dun fan 	一顿饭	c=1 d=0.00351752 t=3141
yi fen 	一份	c=2 d=0.396531 t=3141
yi fu 	衣服	c=2 d=0.440885 t=3141
yi ge 	一个	c=26 d=2.63087 t=3141
yi ge ren 	一个人	c=2 d=0.262632 t=3141
yi huo 	疑惑	c=1 d=0.00444934 t=3141
yi ji 	以及	c=2 d=0.578484 t=3141
yi jian 	一件	c=1 d=0.0605068 t=3141
yi jian 	意见	c=1 d=0.588605 t=3141
yi jing 	已经	c=9 d=1.98576 t=3141
yi ju 	一句	c=1 d=0.440432 t=3141
yi ju yi dong 	一举一动	c=2 d=1.41301 t=3141
yi kan 	一看	c=1 d=0.960789 t=3141
yi lai 	依赖	c=2 d=0.655906 t=3141
yi liang ge 	一两个	c=1 d=0.0315873 t=3141
yi mian 	一面	c=1 d=0.0765355 t=3141
yi mu yi yang 	一模一样	c=1 d=0.782705 t=3141
yi nian 	一年	c=1 d=0.034562 t=3141
yi pang 	一旁	c=2 d=0.207192 t=3141
yi qi 	一起	c=1 d=0.0483156 t=3141
yi qian 	以前	c=4 d=0.210418 t=3141
yi qie 	一切	c=2 d=0.720743 t=3141
yi quan chao ren 	一拳超人	c=1 d=2.72625e-05 t=3141
yi ran 	依然	c=4 d=0.502647 t=3141
yi sheng 	一声	c=1 d=0.00990218 t=3141
yi shi 	意识	c=1 d=0.00869506 t=3141
yi shi dao 	意识到	c=1 d=0.0301974 t=3141
yi shun jian 	一瞬间	c=1 d=0.810584 t=3141
yi si 	一丝	c=4 d=0.120602 t=3141
yi si yi hao 	一丝一毫	c=1 d=0.0327124 t=3141
yi tang 	一趟	c=2 d=0.0788664 t=3141
yi tao 	一套	c=2 d=0.782705 t=3141
yi tian 	一天	c=0 d=0.1 t=2585
yi tuan 	一团	c=1 d=0.0295994 t=3141
yi tui 	一腿	c=1 d=0.0273237 t=3141
yi wan shang 	一晚上	c=1 d=1 t=2579
yi xia 	一下	c=3 d=0.3853 t=3141
yi xia 	以下	c=2 d=0.0180645 t=3141
yi xie 	一些	c=2 d=0.296936 t=3141
yi yi 	意义	c=3 d=3.02973e-05 t=3141
yi ze rui er 	伊泽瑞尔	c=1 d=3.84943e-05 t=3141
yi zhang 	一张	c=1 d=0.122456 t=3141
yi zhen 	一阵	c=3 d=0.115362 t=3141
yi zheng mian 	一整面	c=1 d=0.0629761 t=3141
yi zhi 	一直	c=9 d=1.18697 t=3141
yi zu 	一组	c=1 d=0.0720785 t=3141
yin chang 	吟唱	c=1 d=2.31157e-05 t=3141
yin jian 	阴间	c=1 d=1 t=2530
yin qi 	引起	c=1 d=0.0113902 t=3141
yin ru 	引入	c=3 d=0.034492 t=3141
yin wei 	因为	c=1 d=5.96262e-06 t=3141
yin yue 	隐约	c=1 d=0.0191587 t=3141
ying cun 	英寸	c=1 d=1 t=2756
ying gai 	应该	c=3 d=0.4258 t=3141
ying hua 	樱花	c=1 d=2.07078e-05 t=3141
ying lai 	迎来	c=1 d=0.631284 t=3141
ying wei 	应为	c=1 d=5.93288e-06 t=3141
ying xiang 	影响	c=3 d=0.363635 t=3141
ying yao 	硬要	c=0 d=0.00361528 t=3141
ying yao shuo 	硬要说	c=1 d=0.036334 t=3141
ying yong 	应用	c=3 d=1.53156 t=3141
yong 	用	c=4 d=0.562041 t=3141
yong de 	用的	c=1 d=1 t=2667
yong lai 	用来	c=1 d=0.0051953 t=3141
yong wei 	用为	c=1 d=0.0668703 t=3141
yong yu 	用于	c=2 d=0.0971421 t=3141
yong yuan 	永远	c=2 d=0.712596 t=3141
you 	又	c=3 d=0.526422 t=3141
you 	友	c=1 d=1.73833e-05 t=3141
you 	右	c=2 d=0.0256071 t=3141
you 	有	c=10 d=1.13821 t=3141
you 	由	c=1 d=0.0804596 t=3141
you bei 	右背	c=1 d=0.00451658 t=3141
you de 	有的	c=1 d=8.17034e-06 t=3141
you dian 	有点	c=1 d=1 t=2642
you hen duo 	有很多	c=1 d=5.99251e-06 t=3141
you kong 	有空	c=1 d=0.0399551 t=3141
you le 	有了	c=1 d=0.0372538 t=3141
you shi 	又是	c=1 d=0.0098528 t=3141
you shou 	右手	c=4 d=1.15422 t=3141
you suo 	有所	c=1 d=0.0397558 t=3141
you wan 	游玩	c=1 d=1 t=2890
you xi 	游戏	c=1 d=0.755784 t=3141
you xian 	优先	c=1 d=1 t=2908
you xiang 	邮箱	c=2 d=0.101266 t=3141
you yi ge 	有一个	c=1 d=0.0385808 t=3141
you zhe 	有着	c=1 d=0.436049 t=3141
yu 	与	c=8 d=1.87506 t=3141
yu 	于	c=2 d=0.0424827 t=3141
yu e 	余额	c=2 d=1.90484 t=2467
yu e bao 	余额宝	c=2 d=1.98511 t=2468
yu wo 	与我	c=1 d=0.0174224 t=3141
yu yan 	语言	c=3 d=2.00711 t=3092
yu yun 	余韵	c=1 d=0.0587185 t=3141
yuan 	源	c=1 d=0.0845849 t=3141
yuan 	远	c=1 d=0.00597602 t=3141
yuan di 	原地	c=1 d=0.205975 t=3141
yuan run 	圆润	c=1 d=0.182684 t=3141
yue 	月	c=2 d=0.618091 t=3141
yue duo 	越多	c=1 d=0.0166557 t=3141
yue fen 	月份	c=1 d=0.0114473 t=3141
yue lai 	越来	c=1 d=0.0165727 t=3141
yue lai yue 	越来越	c=1 d=0.509156 t=3141
yue ye 	月夜	c=1 d=3.48311e-05 t=3141
yue ye 	越野	c=1 d=1 t=2603
yun wei 	运维	c=1 d=0.063609 t=3141
yun wei 	韵味	c=1 d=0.0632918 t=3141
yun xuan gan 	晕眩感	c=1 d=0.00694315 t=3141
za le 	咋了	c=1 d=1 t=2567
zai 	仔	c=1 d=0.532592 t=3141
zai 	再	c=4 d=0.510388 t=3141
zai 	在	c=27 d=3.69321 t=3141
zai ci 	再次	c=3 d=0.529277 t=3141
zai na 	在哪	c=1 d=0.00509243 t=3141
zai wo 	在我	c=1 d=0.0175097 t=3141
zai xuan 	再选	c=1 d=1 t=2628
zai yi ci 	再一次	c=1 d=0.0596059 t=3141
zai zhe 	在这	c=1 d=0.00802655 t=3141
zan shi 	暂时	c=1 d=1 t=2954
zan yang 	赞扬	c=1 d=0.0212797 t=3141
zao 	早	c=1 d=0.612626 t=3141
zao dong 	躁动	c=1 d=0.687289 t=3141
zao gao 	糟糕	c=1 d=0.38868 t=3141
zao xian 	早先	c=1 d=1 t=2536
ze 	则	c=1 d=0.00582847 t=3141
ze shi 	则是	c=1 d=0.0665368 t=3141
zen me 	怎么	c=5 d=0.627072 t=3141
zen me liang 	怎么量	c=1 d=1 t=2753
zhan 	站	c=2 d=1.79478 t=2516
zhan kai 	展开	c=1 d=0.0590129 t=3141
zhan xian chu 	展现出	c=1 d=0.334546 t=3141
zhan xian chu le 	展现出了	c=1 d=0.0420036 t=3141
zhan you 	占有	c=1 d=0.13068 t=3141
zhan you yu 	占有欲	c=1 d=0.442639 t=3141
zhan zai 	站在	c=3 d=0.473495 t=3141
zhan zhe 	站着	c=1 d=0.154896 t=3141
zhang 	仗	c=1 d=0.327915 t=3141
zhang 	张	c=1 d=0.127957 t=3141
zhang ben 	账本	c=8 d=0.0876216 t=3141
zhang dan 	账单	c=2 d=0.0325039 t=3141
zhang hu 	账户	c=1 d=0.00388746 t=3141
zhang zhe 	仗着	c=1 d=0.392586 t=3141
zhao 	找	c=1 d=0.00980366 t=3141
zhao bu dao 	找不到	c=1 d=0.0274607 t=3141
zhao chang 	照常	c=1 d=0.722527 t=3141
zhao huan shou 	召唤兽	c=1 d=3.12029e-05 t=3141
zhao jing zi 	照镜子	c=1 d=1 t=2871
zhao pian 	照片	c=3 d=1.92835 t=2724
zhao yang 	照样	c=1 d=1 t=2940
zhao zhao 	照照	c=1 d=1 t=2867
zhe 	着	c=14 d=1.05961 t=3141
zhe 	这	c=10 d=0.756663 t=3141
zhe bao cuo 	这报错	c=1 d=1 t=2662
zhe bu shi 	这不是	c=1 d=1 t=2983
zhe ge 	这个	c=6 d=0.975587 t=3141
zhe hui 	这回	c=1 d=1 t=2503
zhe ju hua 	这句话	c=1 d=0.0528657 t=3141
zhe li 	这里	c=1 d=0.084163 t=3141
zhe me 	这么	c=8 d=0.50076 t=3141
zhe me gan 	这么赶	c=1 d=1 t=2982
zhe me shuo 	这么说	c=1 d=0.0290133 t=3141
zhe qun 	这群	c=1 d=0.0581343 t=3141
zhe shi 	这时	c=1 d=0.168638 t=3141
zhe shi 	这是	c=1 d=0.00272578 t=3141
zhe teng 	折腾	c=1 d=1 t=2622
zhe tiao 	这条	c=1 d=1 t=2798
zhe wo 	着我	c=1 d=0.0173355 t=3141
zhe yang 	这样	c=2 d=0.551563 t=3141
zhe yang de 	这样的	c=1 d=0.031273 t=3141
zhe yi 	这一	c=0 d=0.00249687 t=3141
zhe yi ban 	这一半	c=1 d=0.0203434 t=3141
zhe yi fen 	这一份	c=1 d=0.331211 t=3141
zhe yi ge 	这一个	c=1 d=0.178173 t=3141
zhe yi ju yi dong 	着一举一动	c=1 d=0.0181334 t=3141
zhe yi sheng 	这一声	c=1 d=0.00402593 t=3141
zhe yi shun 	这一瞬	c=1 d=0.021068 t=3141
zhe yi tian 	这一天	c=1 d=0.650509 t=3141
zhe zhong 	这种	c=3 d=0.223231 t=3141
zhe zhou 	褶皱	c=1 d=0.0824965 t=3141
zhe zhou 	这周	c=2 d=1.97531 t=2950
zhen 	真	c=1 d=0.0554327 t=3141
zhen 	震	c=1 d=1 t=2885
zhen ding 	镇定	c=1 d=0.436049 t=3141
zhen dong 	震动	c=1 d=3.55347e-05 t=3141
zhen gu diao 	真骨雕	c=1 d=2.61935e-05 t=3141
zhen shi 	真是	c=2 d=0.0564161 t=3141
zhen tou 	枕头	c=1 d=0.251579 t=3141
zhen xin 	真心	c=3 d=0.794819 t=3141
zhen xin huan 	真心换	c=1 d=0.247833 t=3141
zhen zhen zheng zheng 	真真正正	c=1 d=0.143704 t=3141
zheng da 	睁大	c=1 d=0.0332068 t=3141
zheng dui zhe 	正对着	c=0 d=0.0386741 t=3141
zheng dui zhe wo 	正对着我	c=1 d=0.38868 t=3141
zheng ge 	整个	c=2 d=0.189795 t=3141
zheng ge ren 	整个人	c=3 d=0.306503 t=3141
zheng hao 	正好	c=1 d=0.0443785 t=3141
zheng kai 	睁开	c=3 d=0.204492 t=3141
zheng li 	整理	c=1 d=0.0131019 t=3141
zheng quan 	证券	c=1 d=0.0115047 t=3141
zheng que 	正确	c=1 d=0.0293049 t=3141
zheng shu 	证书	c=2 d=1.1116 t=3141
zheng zai 	正在	c=1 d=4.4279e-05 t=3141
zhi 	只	c=1 d=0.0065062 t=3141
zhi 	直	c=3 d=0.100588 t=3141
zhi 	致	c=1 d=1.84582e-05 t=3141
zhi bai 	直白	c=2 d=0.00877154 t=3141
zhi chi 	只吃	c=1 d=0.00210172 t=3141
zhi chi wo 	支持我	c=1 d=5.53179e-06 t=3141
zhi chu 	支出	c=4 d=0.0193592 t=3141
zhi da 	直达	c=3 d=2.55078 t=2610
zhi dao 	知道	c=1 d=0.00436124 t=3141
zhi ding 	指定	c=2 d=1.95123 t=3126
zhi fu bao 	支付宝	c=1 d=1 t=2466
zhi gou gou 	直勾勾	c=1 d=0.794534 t=3141
zhi hou 	之后	c=1 d=1 t=2878
zhi ji 	之际	c=1 d=0.301194 t=3141
zhi jie 	直接	c=5 d=0.241266 t=3141
zhi jue 	知觉	c=1 d=0.0146986 t=3141
zhi lei 	之类	c=1 d=0.941765 t=3141
zhi li 	致力	c=1 d=0.0228227 t=3141
zhi qian 	之前	c=1 d=1 t=2681
zhi shang 	之上	c=1 d=0.00625109 t=3141
zhi sheng xia 	只剩下	c=2 d=0.156906 t=3141
zhi shi 	只是	c=1 d=0.00174675 t=3141
zhi shi 	知识	c=1 d=0.118837 t=3141
zhi wai 	之外	c=1 d=0.00160441 t=3141
zhi xing 	执行	c=1 d=1 t=3081
zhi xu yao 	只需要	c=1 d=0.12307 t=3141
zhi yao 	只要	c=1 d=0.292293 t=3141
zhi yao shi 	只要是	c=1 d=0.0599047 t=3141
zhi you 	只有	c=5 d=0.174645 t=3141
zhi zhong 	之中	c=1 d=0.146607 t=3141
zhong 	中	c=4 d=0.516791 t=3141
zhong 	种	c=2 d=1.16096 t=3141
zhong duan 	中断	c=1 d=0.0430669 t=3141
zhong duan 	终端	c=1 d=0.0428521 t=3141
zhong guo 	中国	c=1 d=0.0149208 t=3141
zhong jian 	中间	c=1 d=0.121846 t=3141
zhong shi 	中式	c=1 d=0.117068 t=3141
zhong shi 	重视	c=1 d=0.0547488 t=3141
zhong wen 	中文	c=2 d=0.29863 t=3141
zhong wu 	中午	c=1 d=1 t=2540
zhong xue shi qi 	中学时期	c=1 d=0.00145901 t=3141
zhong yao 	重要	c=1 d=0.421052 t=3141
zhong yao xing 	重要性	c=1 d=0.304221 t=3141
zhong zhuan 	中转	c=2 d=1.97531 t=2529
zhou 	轴	c=1 d=1.55726e-05 t=3141
zhou mo 	周末	c=3 d=2.74636 t=2985
zhou nian 	周年	c=1 d=1.48131e-05 t=3141
zhou wen 	皱纹	c=1 d=0.594521 t=3141
zhu 	竹	c=1 d=0.579842 t=3141
zhu fu 	祝福	c=2 d=1.90752 t=3141
zhu jian 	逐渐	c=1 d=0.0181334 t=3141
zhu nei 	竹内	c=1 d=2.11261e-05 t=3141
zhu shi 	注释	c=1 d=0.017249 t=3141
zhu shi xia 	注视下	c=1 d=0.0184997 t=3141
zhu shi zhe 	注视着	c=2 d=0.0304262 t=3141
zhu shi zhe wo 	注视着我	c=1 d=0.0122773 t=3141
zhu yao 	主要	c=3 d=0.869732 t=3141
zhu yao ceng 	主要层	c=1 d=0.0812682 t=3141
zhu yi 	注意	c=1 d=0.0115047 t=3141
zhu yi li 	注意力	c=1 d=0.0216013 t=3141
zhua pai 	抓拍	c=3 d=2.37369 t=3141
zhuan 	转	c=2 d=1.86502 t=2544
zhuan guo tou 	转过头	c=1 d=0.305746 t=3141
zhuan guo tou lai 	转过头来	c=2 d=0.486949 t=3141
zhuan ji 	专辑	c=1 d=1.52642e-05 t=3141
zhuan shen 	转身	c=1 d=0.00562801 t=3141
zhuan zhang 	转账	c=1 d=1 t=2459
zhui su 	追溯	c=1 d=0.00618889 t=3141
zhun bei 	准备	c=2 d=0.851042 t=3141
zhuo yi 	桌椅	c=2 d=0.190267 t=3141
zi chan 	资产	c=8 d=0.0396019 t=3141
zi ding yi 	自定义	c=1 d=1.59668e-05 t=3141
zi dong 	自动	c=1 d=1 t=3050
zi dong dang 	自动挡	c=1 d=2.99794e-05 t=3141
zi ji 	自己	c=13 d=4.01935 t=3141
zi wei bang 	自慰棒	c=1 d=3.57128e-05 t=3141
zi wo 	自我	c=2 d=0.993761 t=3141
zi xing 	自行	c=1 d=1 t=3136
zi yan zi yu 	自言自语	c=1 d=0.0132999 t=3141
zi you 	自由	c=1 d=0.0234005 t=3141
zi zhi 	自制	c=1 d=2.14454e-05 t=3141
zong ti shang 	总体上	c=1 d=0.00358858 t=3141
zou 	走	c=1 d=0.865022 t=3141
zou dao 	走到	c=3 d=0.769395 t=3141
zou guo lai 	走过来	c=1 d=0.315058 t=3141
zou le 	走了	c=1 d=0.17552 t=3141
zu 	族	c=1 d=0.0205478 t=3141
zu cheng 	组成	c=1 d=0.0816756 t=3141
zu ma long 	祖玛珑	c=1 d=1.67854e-05 t=3141
zui hou 	最后	c=1 d=1 t=2627
zui jia 	最佳	c=1 d=1 t=2552
zui jiao 	嘴角	c=2 d=1.03112 t=3141
zui wan 	最晚	c=1 d=1 t=2816
zui zhong 	最终	c=1 d=0.0031042 t=3141
zuo 	作	c=1 d=0.00406639 t=3141
zuo 	做	c=3 d=0.776597 t=3141
zuo 	坐	c=3 d=0.265646 t=3141
zuo 	座	c=2 d=1.26081 t=3141
zuo chu 	做出	c=2 d=0.0636646 t=3141
zuo dao 	做到	c=4 d=0.703634 t=3141
zuo de 	做的	c=1 d=0.00242967 t=3141
zuo dian 	坐垫	c=1 d=0.00436124 t=3141
zuo hao 	做好	c=1 d=0.123687 t=3141
zuo hao le 	做好了	c=1 d=7.17434e-06 t=3141
zuo jian 	左肩	c=1 d=0.00447164 t=3141
zuo shou 	左手	c=2 d=0.0290411 t=3141
zuo wei 	作为	c=5 d=0.292335 t=3141
zuo yi tian 	坐一天	c=1 d=1 t=2588
zuo you 	左右	c=2 d=0.397964 t=3141
